,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name_Freq,Platform_Freq,Genre_Freq,Publisher_Freq,Global_Sales_log,Global_Sales_reciprocal,Global_Sales_sqrt,Global_Sales_exp1,Global_Sales_yeojohnson,Global_Sales_boxcox
0,1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,1,1324,2343,703,4.4157031610332655,0.012086052695189751,9.096153033013461,1.5551473750674527,0.38966750517708004,3.976349000817866
203,2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,2,98,884,703,3.6948615257914836,0.024850894632206758,6.343500610861483,1.4469908910620937,0.38964414865907043,3.3837673435585147
55,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,1,1324,1248,703,3.578506396632566,0.027917364600781685,5.984981202978001,1.4302519816081074,0.3896347326877472,3.2861654669158225
1,4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,1,1324,2343,703,3.4965075614664802,0.030303030303030304,5.744562646538029,1.4185720345070807,0.3896262695263062,3.217052173249487
537,5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,1,98,1486,703,3.445852022202587,0.031877590054191905,5.600892785976178,1.4114043508386849,0.38962012025280823,3.174219737542634
466,6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,2,98,581,703,3.40982670836021,0.033046926635822864,5.500909015790027,1.4063288701474086,0.389615257248683,3.143694209078849
233,7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,1,2156,884,703,3.4015306594522756,0.033322225924691765,5.478138369920935,1.4051626566537658,0.3896140751755508,3.1366571404604557
92,8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,1,1324,1712,703,3.367985247456042,0.03445899379738112,5.387021440462252,1.4004568779070121,0.3896090426754822,3.1081736801617987
192,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,1,1324,884,703,3.3541057741283047,0.034940600978336823,5.349766350038102,1.3985144658133202,0.38960683652838307,3.096375086351319
310,10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,1,98,1308,703,3.343215099123808,0.03532320734722713,5.320714237769211,1.3969922182253396,0.3896050522419342,3.0871116525894955
431,11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,1,2156,863,703,3.2092294478163956,0.04038772213247173,4.975942121849892,1.378399363937545,0.3895787416487605,2.9727457388924194
65,12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,1,2156,1248,703,3.1535903581695712,0.04269854824935952,4.839421453025144,1.3707513714565351,0.38956503404635884,2.9250359325584996
538,13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,1,98,1486,703,3.139832617527748,0.04329004329004329,4.806245936279167,1.3688668239243005,0.3895613500455234,2.9132190506585207
2,14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,1,1324,2343,703,3.1232455938529506,0.04401408450704226,4.766550115125193,1.366598163319197,0.38955674234804605,2.8989615733730134
3,15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,1,1324,2343,703,3.091042453358316,0.045454545454545456,4.69041575982343,1.362204366553743,0.38954725201056256,2.871248512551602
11047,16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,1,1261,1712,189,3.0828269804049246,0.045829514207149404,4.671188285650665,1.3610857108179175,0.3895447105301948,2.864171614210282
4018,17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,5,1326,3309,413,3.0633909220278057,0.04672897196261683,4.626013402488151,1.3584428658411765,0.3895384937974879,2.8474179898177794
4039,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,4,2159,3309,413,3.035433640405543,0.04805382027871216,4.561797891182818,1.3546503327803443,0.3895290257953814,2.823291569384237
247,19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,2,239,884,703,3.0257763949023677,0.048520135856380396,4.539823785126467,1.3533427451832285,0.38952560460143093,2.81495003534243
115,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,1,2156,1712,703,3.006672213592325,0.04945598417408507,4.496665431183423,1.350759762739206,0.3895185985254188,2.798437151560387
542,21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,1,2156,1486,703,2.9101743851923443,0.054466230936819175,4.28485705712571,1.3377879127868733,0.38947787145004287,2.7147949302291114
218,22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,1,98,884,703,2.8981194446869907,0.05512679162072767,4.259107887809371,1.3361761890739858,0.3894720925337056,2.704318535030011
204,23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,2,98,884,703,2.8495497633759097,0.057870370370370364,4.156921938165306,1.3297021587126154,0.38944705598183416,2.662046967397939
4006,24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,5,1261,3309,413,2.7960610784249234,0.061050061050061055,4.047221268969612,1.322608744509995,0.3894159343929703,2.615379303717952
4040,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2,2159,3309,413,2.7819200496686656,0.061919504643962855,4.018706259482023,1.320739761459657,0.38940702759396156,2.6030214016523288
582,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,1,796,1486,703,2.7631695003232895,0.06309148264984227,3.9812058474788765,1.3182656221511397,0.3893947500506152,2.586622192081662
543,27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,1,2156,1486,703,2.729159164312445,0.06527415143603132,3.9140771581561853,1.3137897720477034,0.38937104976654674,2.5568388411955976
481,28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,1,2156,581,703,2.72785282839839,0.06535947712418301,3.9115214431215892,1.313618158180941,0.3893701011217972,2.5556938871067345
11641,29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,1,2159,1248,683,2.7067159780890733,0.06675567423230974,3.8704004960727256,1.3108445154798052,0.3893543407300249,2.5371581859552537
